anio,mes,dia,hora(utc),altura(mm)
2016,4,1,0,316
2016,4,1,1,392
2016,4,1,2,444
2016,4,1,3,468
2016,4,1,4,462
2016,4,1,5,427
2016,4,1,6,377
2016,4,1,7,329
2016,4,1,8,296
2016,4,1,9,279
2016,4,1,10,273
2016,4,1,11,273
2016,4,1,12,267
2016,4,1,13,243
2016,4,1,14,198
2016,4,1,15,136
2016,4,1,16,64
2016,4,1,17,-3
2016,4,1,18,-51
2016,4,1,19,-64
2016,4,1,20,-34
2016,4,1,21,35
2016,4,1,22,133
2016,4,1,23,244
2016,4,2,0,348
2016,4,2,1,425
2016,4,2,2,462
2016,4,2,3,460
2016,4,2,4,425
2016,4,2,5,370
2016,4,2,6,311
2016,4,2,7,268
2016,4,2,8,256
2016,4,2,9,276
2016,4,2,10,317
2016,4,2,11,359
2016,4,2,12,383
2016,4,2,13,372
2016,4,2,14,316
2016,4,2,15,220
2016,4,2,16,103
2016,4,2,17,-11
2016,4,2,18,-98
2016,4,2,19,-133
2016,4,2,20,-106
2016,4,2,21,-21
2016,4,2,22,105
2016,4,2,23,249
2016,4,3,0,380
2016,4,3,1,470
2016,4,3,2,503
2016,4,3,3,478
2016,4,3,4,409
2016,4,3,5,319
2016,4,3,6,234
2016,4,3,7,179
2016,4,3,8,173
2016,4,3,9,220
2016,4,3,10,305
2016,4,3,11,399
2016,4,3,12,473
2016,4,3,13,499
2016,4,3,14,457
2016,4,3,15,350
2016,4,3,16,198
2016,4,3,17,36
2016,4,3,18,-100
2016,4,3,19,-176
2016,4,3,20,-172
2016,4,3,21,-87
2016,4,3,22,58
2016,4,3,23,233
2016,4,4,0,399
2016,4,4,1,518
2016,4,4,2,563
2016,4,4,3,528
2016,4,4,4,429
2016,4,4,5,297
2016,4,4,6,169
2016,4,4,7,80
2016,4,4,8,56
2016,4,4,9,109
2016,4,4,10,224
2016,4,4,11,368
2016,4,4,12,501
2016,4,4,13,584
2016,4,4,14,588
2016,4,4,15,500
2016,4,4,16,339
2016,4,4,17,143
2016,4,4,18,-41
2016,4,4,19,-169
2016,4,4,20,-208
2016,4,4,21,-146
2016,4,4,22,0
2016,4,4,23,195
2016,4,5,0,393
2016,4,5,1,549
2016,4,5,2,625
2016,4,5,3,602
2016,4,5,4,489
2016,4,5,5,320
2016,4,5,6,143
2016,4,5,7,3
2016,4,5,8,-63
2016,4,5,9,-35
2016,4,5,10,83
2016,4,5,11,258
2016,4,5,12,443
2016,4,5,13,591
2016,4,5,14,661
2016,4,5,15,627
2016,4,5,16,492
2016,4,5,17,292
2016,4,5,18,78
2016,4,5,19,-96
2016,4,5,20,-189
2016,4,5,21,-172
2016,4,5,22,-49
2016,4,5,23,145
2016,4,6,0,362
2016,4,6,1,551
2016,4,6,2,667
2016,4,6,3,677
2016,4,6,4,576
2016,4,6,5,392
2016,4,6,6,175
2016,4,6,7,-19
2016,4,6,8,-144
2016,4,6,9,-168
2016,4,6,10,-82
2016,4,6,11,90
2016,4,6,12,302
2016,4,6,13,502
2016,4,6,14,641
2016,4,6,15,682
2016,4,6,16,608
2016,4,6,17,441
2016,4,6,18,229
2016,4,6,19,30
2016,4,6,20,-106
2016,4,6,21,-144
2016,4,6,22,-67
2016,4,6,23,103
2016,4,7,0,317
2016,4,7,1,522
2016,4,7,2,672
2016,4,7,3,726
2016,4,7,4,662
2016,4,7,5,491
2016,4,7,6,260
2016,4,7,7,28
2016,4,7,8,-154
2016,4,7,9,-243
2016,4,7,10,-218
2016,4,7,11,-85
2016,4,7,12,117
2016,4,7,13,336
2016,4,7,14,521
2016,4,7,15,633
2016,4,7,16,640
2016,4,7,17,538
2016,4,7,18,364
2016,4,7,19,174
2016,4,7,20,20
2016,4,7,21,-58
2016,4,7,22,-35
2016,4,7,23,90
2016,4,8,0,278
2016,4,8,1,477
2016,4,8,2,640
2016,4,8,3,730
2016,4,8,4,715
2016,4,8,5,585
2016,4,8,6,370
2016,4,8,7,127
2016,4,8,8,-88
2016,4,8,9,-232
2016,4,8,10,-277
2016,4,8,11,-211
2016,4,8,12,-55
2016,4,8,13,145
2016,4,8,14,339
2016,4,8,15,491
2016,4,8,16,567
2016,4,8,17,545
2016,4,8,18,437
2016,4,8,19,288
2016,4,8,20,150
2016,4,8,21,59
2016,4,8,22,44
2016,4,8,23,118
2016,4,9,0,264
2016,4,9,1,436
2016,4,9,2,589
2016,4,9,3,691
2016,4,9,4,715
2016,4,9,5,639
2016,4,9,6,468
2016,4,9,7,246
2016,4,9,8,28
2016,4,9,9,-144
2016,4,9,10,-242
2016,4,9,11,-246
2016,4,9,12,-158
2016,4,9,13,-10
2016,4,9,14,156
2016,4,9,15,306
2016,4,9,16,415
2016,4,9,17,458
2016,4,9,18,423
2016,4,9,19,336
2016,4,9,20,238
2016,4,9,21,167
2016,4,9,22,143
2016,4,9,23,180
2016,4,10,0,281
2016,4,10,1,416
2016,4,10,2,542
2016,4,10,3,632
2016,4,10,4,670
2016,4,10,5,636
2016,4,10,6,520
2016,4,10,7,343
2016,4,10,8,151
2016,4,10,9,-16
2016,4,10,10,-134
2016,4,10,11,-187
2016,4,10,12,-167
2016,4,10,13,-85
2016,4,10,14,27
2016,4,10,15,140
2016,4,10,16,239
2016,4,10,17,308
2016,4,10,18,330
2016,4,10,19,306
2016,4,10,20,263
2016,4,10,21,231
2016,4,10,22,226
2016,4,10,23,256
2016,4,11,0,324
2016,4,11,1,420
2016,4,11,2,513
2016,4,11,3,577
2016,4,11,4,603
2016,4,11,5,587
2016,4,11,6,516
2016,4,11,7,393
2016,4,11,8,245
2016,4,11,9,107
2016,4,11,10,1
2016,4,11,11,-67
2016,4,11,12,-90
2016,4,11,13,-69
2016,4,11,14,-18
2016,4,11,15,40
2016,4,11,16,97
2016,4,11,17,152
2016,4,11,18,195
2016,4,11,19,218
2016,4,11,20,225
2016,4,11,21,238
2016,4,11,22,269
2016,4,11,23,315
2016,4,12,0,373
2016,4,12,1,441
2016,4,12,2,504
2016,4,12,3,540
2016,4,12,4,542
2016,4,12,5,517
2016,4,12,6,467
2016,4,12,7,389
2016,4,12,8,290
2016,4,12,9,195
2016,4,12,10,120
2016,4,12,11,67
2016,4,12,12,32
2016,4,12,13,17
2016,4,12,14,16
2016,4,12,15,19
2016,4,12,16,23
2016,4,12,17,37
2016,4,12,18,66
2016,4,12,19,105
2016,4,12,20,149
2016,4,12,21,201
2016,4,12,22,267
2016,4,12,23,341
2016,4,13,0,411
2016,4,13,1,468
2016,4,13,2,508
2016,4,13,3,519
2016,4,13,4,497
2016,4,13,5,452
2016,4,13,6,399
2016,4,13,7,345
2016,4,13,8,288
2016,4,13,9,237
2016,4,13,10,202
2016,4,13,11,179
2016,4,13,12,159
2016,4,13,13,135
2016,4,13,14,103
2016,4,13,15,64
2016,4,13,16,20
2016,4,13,17,-14
2016,4,13,18,-21
2016,4,13,19,6
2016,4,13,20,62
2016,4,13,21,141
2016,4,13,22,237
2016,4,13,23,338
2016,4,14,0,427
2016,4,14,1,489
2016,4,14,2,517
2016,4,14,3,509
2016,4,14,4,466
2016,4,14,5,401
2016,4,14,6,334
2016,4,14,7,283
2016,4,14,8,251
2016,4,14,9,238
2016,4,14,10,242
2016,4,14,11,255
2016,4,14,12,262
2016,4,14,13,249
2016,4,14,14,211
2016,4,14,15,147
2016,4,14,16,67
2016,4,14,17,-8
2016,4,14,18,-56
2016,4,14,19,-57
2016,4,14,20,-10
2016,4,14,21,80
2016,4,14,22,196
2016,4,14,23,320
2016,4,15,0,427
2016,4,15,1,499
2016,4,15,2,526
2016,4,15,3,506
2016,4,15,4,446
2016,4,15,5,362
2016,4,15,6,278
2016,4,15,7,220
2016,4,15,8,197
2016,4,15,9,209
2016,4,15,10,246
2016,4,15,11,295
2016,4,15,12,333
2016,4,15,13,343
2016,4,15,14,313
2016,4,15,15,243
2016,4,15,16,143
2016,4,15,17,37
2016,4,15,18,-46
2016,4,15,19,-80
2016,4,15,20,-53
2016,4,15,21,31
2016,4,15,22,157
2016,4,15,23,298
2016,4,16,0,422
2016,4,16,1,505
2016,4,16,2,534
2016,4,16,3,507
2016,4,16,4,433
2016,4,16,5,333
2016,4,16,6,232
2016,4,16,7,161
2016,4,16,8,136
2016,4,16,9,161
2016,4,16,10,223
2016,4,16,11,303
2016,4,16,12,374
2016,4,16,13,411
2016,4,16,14,398
2016,4,16,15,334
2016,4,16,16,228
2016,4,16,17,103
2016,4,16,18,-7
2016,4,16,19,-70
2016,4,16,20,-67
2016,4,16,21,3
2016,4,16,22,127
2016,4,16,23,277
2016,4,17,0,417
2016,4,17,1,513
2016,4,17,2,546
2016,4,17,3,515
2016,4,17,4,430
2016,4,17,5,313
2016,4,17,6,195
2016,4,17,7,107
2016,4,17,8,74
2016,4,17,9,102
2016,4,17,10,179
2016,4,17,11,283
2016,4,17,12,385
2016,4,17,13,452
2016,4,17,14,462
2016,4,17,15,411
2016,4,17,16,309
2016,4,17,17,177
2016,4,17,18,48
2016,4,17,19,-39
2016,4,17,20,-60
2016,4,17,21,-7
2016,4,17,22,109
2016,4,17,23,261
2016,4,18,0,412
2016,4,18,1,523
2016,4,18,2,565
2016,4,18,3,533
2016,4,18,4,439
2016,4,18,5,307
2016,4,18,6,169
2016,4,18,7,62
2016,4,18,8,14
2016,4,18,9,37
2016,4,18,10,120
2016,4,18,11,240
2016,4,18,12,367
2016,4,18,13,464
2016,4,18,14,503
2016,4,18,15,471
2016,4,18,16,379
2016,4,18,17,248
2016,4,18,18,111
2016,4,18,19,5
2016,4,18,20,-37
2016,4,18,21,-2
2016,4,18,22,102
2016,4,18,23,250
2016,4,19,0,406
2016,4,19,1,531
2016,4,19,2,588
2016,4,19,3,561
2016,4,19,4,461
2016,4,19,5,316
2016,4,19,6,160
2016,4,19,7,30
2016,4,19,8,-39
2016,4,19,9,-30
2016,4,19,10,52
2016,4,19,11,181
2016,4,19,12,324
2016,4,19,13,447
2016,4,19,14,517
2016,4,19,15,511
2016,4,19,16,434
2016,4,19,17,310
2016,4,19,18,173
2016,4,19,19,57
2016,4,19,20,-4
2016,4,19,21,13
2016,4,19,22,104
2016,4,19,23,245
2016,4,20,0,401
2016,4,20,1,534
2016,4,20,2,608
2016,4,20,3,595
2016,4,20,4,497
2016,4,20,5,341
2016,4,20,6,168
2016,4,20,7,17
2016,4,20,8,-78
2016,4,20,9,-91
2016,4,20,10,-19
2016,4,20,11,111
2016,4,20,12,264
2016,4,20,13,404
2016,4,20,14,501
2016,4,20,15,526
2016,4,20,16,472
2016,4,20,17,360
2016,4,20,18,227
2016,4,20,19,109
2016,4,20,20,36
2016,4,20,21,35
2016,4,20,22,112
2016,4,20,23,245
2016,4,21,0,398
2016,4,21,1,534
2016,4,21,2,620
2016,4,21,3,626
2016,4,21,4,540
2016,4,21,5,381
2016,4,21,6,194
2016,4,21,7,23
2016,4,21,8,-97
2016,4,21,9,-137
2016,4,21,10,-87
2016,4,21,11,36
2016,4,21,12,193
2016,4,21,13,344
2016,4,21,14,459
2016,4,21,15,512
2016,4,21,16,488
2016,4,21,17,395
2016,4,21,18,270
2016,4,21,19,155
2016,4,21,20,78
2016,4,21,21,63
2016,4,21,22,124
2016,4,21,23,247
2016,4,22,0,397
2016,4,22,1,532
2016,4,22,2,624
2016,4,22,3,647
2016,4,22,4,581
2016,4,22,5,431
2016,4,22,6,237
2016,4,22,7,48
2016,4,22,8,-94
2016,4,22,9,-162
2016,4,22,10,-141
2016,4,22,11,-37
2016,4,22,12,116
2016,4,22,13,273
2016,4,22,14,400
2016,4,22,15,474
2016,4,22,16,480
2016,4,22,17,413
2016,4,22,18,303
2016,4,22,19,192
2016,4,22,20,115
2016,4,22,21,93
2016,4,22,22,139
2016,4,22,23,250
2016,4,23,0,395
2016,4,23,1,530
2016,4,23,2,625
2016,4,23,3,658
2016,4,23,4,612
2016,4,23,5,482
2016,4,23,6,292
2016,4,23,7,92
2016,4,23,8,-69
2016,4,23,9,-163
2016,4,23,10,-173
2016,4,23,11,-98
2016,4,23,12,40
2016,4,23,13,195
2016,4,23,14,329
2016,4,23,15,417
2016,4,23,16,447
2016,4,23,17,411
2016,4,23,18,323
2016,4,23,19,222
2016,4,23,20,148
2016,4,23,21,123
2016,4,23,22,158
2016,4,23,23,254
2016,4,24,0,389
2016,4,24,1,524
2016,4,24,2,621
2016,4,24,3,661
2016,4,24,4,632
2016,4,24,5,525
2016,4,24,6,352
2016,4,24,7,154
2016,4,24,8,-21
2016,4,24,9,-137
2016,4,24,10,-177
2016,4,24,11,-135
2016,4,24,12,-24
2016,4,24,13,119
2016,4,24,14,253
2016,4,24,15,348
2016,4,24,16,395
2016,4,24,17,386
2016,4,24,18,326
2016,4,24,19,242
2016,4,24,20,174
2016,4,24,21,150
2016,4,24,22,179
2016,4,24,23,260
2016,4,25,0,382
2016,4,25,1,512
2016,4,25,2,611
2016,4,25,3,655
2016,4,25,4,638
2016,4,25,5,555
2016,4,25,6,409
2016,4,25,7,224
2016,4,25,8,47
2016,4,25,9,-83
2016,4,25,10,-147
2016,4,25,11,-139
2016,4,25,12,-63
2016,4,25,13,56
2016,4,25,14,179
2016,4,25,15,274
2016,4,25,16,329
2016,4,25,17,341
2016,4,25,18,309
2016,4,25,19,250
2016,4,25,20,194
2016,4,25,21,174
2016,4,25,22,199
2016,4,25,23,270
2016,4,26,0,375
2016,4,26,1,495
2016,4,26,2,593
2016,4,26,3,642
2016,4,26,4,633
2016,4,26,5,569
2016,4,26,6,452
2016,4,26,7,293
2016,4,26,8,128
2016,4,26,9,-6
2016,4,26,10,-86
2016,4,26,11,-107
2016,4,26,12,-68
2016,4,26,13,16
2016,4,26,14,117
2016,4,26,15,203
2016,4,26,16,258
2016,4,26,17,281
2016,4,26,18,273
2016,4,26,19,242
2016,4,26,20,206
2016,4,26,21,194
2016,4,26,22,220
2016,4,26,23,283
2016,4,27,0,373
2016,4,27,1,477
2016,4,27,2,568
2016,4,27,3,618
2016,4,27,4,616
2016,4,27,5,566
2016,4,27,6,475
2016,4,27,7,350
2016,4,27,8,211
2016,4,27,9,86
2016,4,27,10,1
2016,4,27,11,-39
2016,4,27,12,-34
2016,4,27,13,11
2016,4,27,14,78
2016,4,27,15,143
2016,4,27,16,190
2016,4,27,17,215
2016,4,27,18,222
2016,4,27,19,217
2016,4,27,20,207
2016,4,27,21,211
2016,4,27,22,242
2016,4,27,23,301
2016,4,28,0,378
2016,4,28,1,462
2016,4,28,2,537
2016,4,28,3,582
2016,4,28,4,584
2016,4,28,5,545
2016,4,28,6,476
2016,4,28,7,386
2016,4,28,8,282
2016,4,28,9,182
2016,4,28,10,104
2016,4,28,11,57
2016,4,28,12,38
2016,4,28,13,46
2016,4,28,14,72
2016,4,28,15,105
2016,4,28,16,131
2016,4,28,17,149
2016,4,28,18,163
2016,4,28,19,178
2016,4,28,20,196
2016,4,28,21,223
2016,4,28,22,266
2016,4,28,23,326
2016,4,29,0,393
2016,4,29,1,457
2016,4,29,2,508
2016,4,29,3,538
2016,4,29,4,536
2016,4,29,5,502
2016,4,29,6,450
2016,4,29,7,390
2016,4,29,8,327
2016,4,29,9,264
2016,4,29,10,212
2016,4,29,11,172
2016,4,29,12,142
2016,4,29,13,120
2016,4,29,14,106
2016,4,29,15,97
2016,4,29,16,91
2016,4,29,17,90
2016,4,29,18,101
2016,4,29,19,128
2016,4,29,20,171
2016,4,29,21,226
2016,4,29,22,291
2016,4,29,23,360
2016,4,30,0,423
2016,4,30,1,469
2016,4,30,2,493
2016,4,30,3,495
2016,4,30,4,475
2016,4,30,5,436
2016,4,30,6,391
2016,4,30,7,355
2016,4,30,8,331
2016,4,30,9,315
2016,4,30,10,303
2016,4,30,11,289
2016,4,30,12,267
2016,4,30,13,232
2016,4,30,14,184
2016,4,30,15,131
2016,4,30,16,83
2016,4,30,17,50
2016,4,30,18,44
2016,4,30,19,72
2016,4,30,20,132
2016,4,30,21,216
2016,4,30,22,311
2016,4,30,23,401
